"3월간 
종합 점수 랭킹",회원 ID,"기준 월 시작일
 (예: 2025-12-01)","기준 월 종료일
 (예: 2025-12-31)","3월간 종합 점수 
(D~H 동일 가중 평균)","3월간 지구력 점수
 (3시트 L열 기반)","3월간 스피드 점수
 (3시트 M열 기반)","3월간 지속성 점수
 (3시트 N열 기반)","3월간 케이던스 점수 
(3시트 P열 기반)","3월간 롱런 점수
(3시트 L열 기반)"
1,JM,2025. 12. 29,2026. 3. 22,91,100,76,92,98,91
9,HappyAI,2025. 12. 29,2026. 3. 22,66,72,81,52,86,40
8,재형,2025. 12. 29,2026. 3. 22,67,78,71,64,93,28
3,연,2025. 12. 29,2026. 3. 22,79,92,84,72,80,65
16,제로,2025. 12. 29,2026. 3. 22,60,74,58,40,70,57
4,뽀기아빠,2025. 12. 29,2026. 3. 22,73,81,82,80,93,30
16,익런,2025. 12. 29,2026. 3. 22,60,72,68,84,56,20
13,SJ,2025. 12. 29,2026. 3. 22,61,64,74,52,88,29
6,혀노,2025. 12. 29,2026. 3. 22,68,82,69,68,75,44
2,머룬,2025. 12. 29,2026. 3. 22,82,92,72,72,100,73
20,키키키,2025. 12. 29,2026. 3. 22,56,65,54,56,79,27
21,꾸마,2025. 12. 29,2026. 3. 22,55,67,50,44,70,45
12,멀루,2025. 12. 29,2026. 3. 22,63,76,61,72,68,38
5,진원,2025. 12. 29,2026. 3. 22,71,89,67,40,88,71
16,부개동러너,2025. 12. 29,2026. 3. 22,60,65,73,32,84,47
24,배당의민족,2025. 12. 29,2026. 3. 22,51,61,51,32,71,38
13,순현,2025. 12. 29,2026. 3. 22,61,80,25,56,82,60
19,런징,2025. 12. 29,2026. 3. 22,57,62,67,40,77,39
6,네모러너,2025. 12. 29,2026. 3. 22,68,88,64,44,72,71
23,키가케이던스,2025. 12. 29,2026. 3. 22,52,55,59,28,77,40
25,경민,2025. 12. 29,2026. 3. 22,49,53,58,40,66,30
10,백화,2025. 12. 29,2026. 3. 22,65,84,66,88,45,40
26,갤러리킴,2025. 12. 29,2026. 3. 22,34,45,36,16,36,37
21,양봉,2025. 12. 29,2026. 3. 22,55,56,64,36,86,33
13,스응민,2025. 12. 29,2026. 3. 22,61,69,57,72,69,37
10,찬우,2025. 12. 29,2026. 3. 22,65,82,64,100,59,20
