챌린지 보드!,,,,,,,,,,,,,,,,,
2026-03-23,,2026-04-05,총참여자,완주자,,누적km,완료율,,챌린지 보드!,,,,,,,,
15,,km,24,1,,113,4.2%,,시작 날짜,종료 날짜,목표km,총 참여자,완주자,"챌린지
누적km",완료율,,
,,,,,,,,,2026-03-23,2026-04-05,15,24,24,113,4.2%,4.2%,
랭크,LV,팀,회원ID,"누적
KM","남은
KM","남은
벌금",응원메세지,비고,랭크,LV,팀,회원ID,"누적
KM","남은
KM","남은
벌금",응원메세지,비고
20,9,10,백화,0,15.0,"₩45,000",Let’s roll!,,1,13,1,JM,12.0,4.8,"₩14,415",move!!,
1,13,1,JM,12,4.8,"₩14,415",move!!,,2,11,,혀노,8.4,4.8,"₩14,415",move!!,
25,7,13,갤러리킴,0,15.0,₩0,Welcome Back,병가,3,12,2,머룬,4.5,12.8,"₩38,295",move!!,
26,9,13,꾸마,0,15.0,₩0,Welcome Back,출산휴가,4,10,,진원,0.0,12.8,"₩38,295",Let’s roll!,
5,10,3,네모러너,2,6.3,"₩18,945",move!!,,5,10,3,네모러너,1.6,6.3,"₩18,945",move!!,
21,9,11,런징,5,9.8,"₩29,535",move!!,,6,12,,연,15.8,6.3,"₩18,945",Complete!!!,
3,12,2,머룬,4,12.8,"₩38,295",move!!,,7,11,4,뽀기아빠,10.0,6.2,"₩18,555",move!!,
12,9,6,부개동러너,0,14.5,"₩43,500",Let’s roll!,,8,3,,찬우,7.6,6.2,"₩18,555",move!!,
19,9,10,양봉,0,15.0,"₩45,000",Let’s roll!,,9,10,5,익런,9.0,8.1,"₩24,360",move!!,
6,12,3,연,16,6.3,"₩18,945",Complete!!!,,10,11,,재형,4.8,8.1,"₩24,360",move!!,
10,11,5,재형,5,8.1,"₩24,360",move!!,,11,10,6,멀루,1.0,14.5,"₩43,500",move!!,
15,10,8,제로,0,13.2,"₩39,495",Let’s roll!,,12,9,,부개동러너,0.0,14.5,"₩43,500",Let’s roll!,
4,10,2,진원,0,12.8,"₩38,295",Let’s roll!,,13,10,7,키키키,10.1,9.9,"₩29,805",move!!,
13,10,7,키키키,10,9.9,"₩29,805",move!!,,14,10,,HappyAI,0.0,9.9,"₩29,805",Let’s roll!,
2,11,1,혀노,8,4.8,"₩14,415",move!!,,15,10,8,제로,0.0,13.2,"₩39,495",Let’s roll!,
11,10,6,멀루,1,14.5,"₩43,500",move!!,,16,9,,배당의민족,3.7,13.2,"₩39,495",move!!,
9,10,5,익런,9,8.1,"₩24,360",move!!,,17,10,9,순현,12.2,8.9,"₩26,745",move!!,
14,10,7,HappyAI,0,9.9,"₩29,805",Let’s roll!,,18,9,,스응민,0.0,8.9,"₩26,745",Let’s roll!,
7,11,4,뽀기아빠,10,6.2,"₩18,555",move!!,,19,9,10,양봉,0.0,15.0,"₩45,000",Let’s roll!,
22,10,11,SJ,5,9.8,"₩29,535",move!!,,20,9,,백화,0.0,15.0,"₩45,000",Let’s roll!,
24,8,12,키가케이던스,0,13.7,"₩41,220",Let’s roll!,,21,9,11,런징,5.3,9.8,"₩29,535",move!!,
16,9,8,배당의민족,4,13.2,"₩39,495",move!!,,22,10,,SJ,5.0,9.8,"₩29,535",move!!,
18,9,9,스응민,0,8.9,"₩26,745",Let’s roll!,,23,9,12,경민,2.5,13.7,"₩41,220",move!!,
17,10,9,순현,12,8.9,"₩26,745",move!!,,24,8,,키가케이던스,0.0,13.7,"₩41,220",Let’s roll!,
23,9,12,경민,3,13.7,"₩41,220",move!!,,25,7,13,갤러리킴,0.0,15.0,₩0,Welcome Back,병가
8,3,4,찬우,8,6.2,"₩18,555",move!!,,26,9,,꾸마,0.0,15.0,₩0,Welcome Back,출산휴가
,,,,,,,,,,,,,,합산벌금,"₩739,740",,
