회원ID,Column 20,"2주 
시작일","2주 
종료일","2주 
총거리(km)","2주 
최장거리(km)","2주 
평균페이스","2주 
러닝 일수","2주 
평균 케이던스","이전 
2주 총거리","지구력 
점수","롱런 
보너스","최종 지구력 
점수","스피드 
점수","꾸준함 
점수","케이던스
점수","최종
점수",랭크,"활성화
여부"
백화,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,12.6,0,0,,0,0,0,0,-,현재시즌
JM,,2026. 3. 23,2026. 4. 5,12.0,6.3,05:33,2,180,103.2,60,29,,73,40,100,59,-,현재시즌
갤러리킴,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,0.0,0,0,,0,0,0,0,-,현재시즌
꾸마,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,0.0,0,0,,0,0,0,0,-,현재시즌
네모러너,,2026. 3. 23,2026. 4. 5,1.6,1.6,06:59,1,180,65.3,8,7,,54,20,100,33,-,현재시즌
런징,,2026. 3. 23,2026. 4. 5,5.3,5.3,06:14,1,166,10.0,27,25,,64,20,77,41,-,현재시즌
머룬,,2026. 3. 23,2026. 4. 5,4.5,2.0,05:20,2,162,31.1,22,9,,76,40,71,45,-,현재시즌
부개동러너,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,15.0,0,0,,0,0,0,0,-,현재시즌
양봉,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,13.0,0,0,,0,0,0,0,-,현재시즌
연,,2026. 3. 23,2026. 4. 5,15.8,10.8,05:24,2,161,28.4,76,50,,75,40,68,64,-,현재시즌
재형,,2026. 3. 23,2026. 4. 5,4.8,4.8,06:37,1,177,16.0,24,22,,58,20,95,40,-,현재시즌
제로,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,16.6,0,0,,0,0,0,0,-,현재시즌
진원,,2026. 3. 23,2026. 4. 5,0.0,0.0,00:00,0,0,42.3,0,0,,0,0,0,0,-,현재시즌
키키키,,2026. 3. 23,2026. 4. 5,10.1,5.1,07:16,2,152,16.6,51,24,,50,40,53,45,-,현재시즌
